,raw,label,clean
0,99|9% Mais| Zucker| Salz| Dextrose| brauner Invertzuckersirup| Melasse| Säureregulator Natriumphosphate| Vitamine (Niacin| Pantothensäure| Folsäure| Vit. B6| Riboflavin [Vit. B2]). Kann ERDNÜSSE und NÜSSE enthalten.,glutenfrei, mais zucker salz dextrose brauner invertzuckersirup melasse säureregulator natriumphosphate vitamine niacin pantothensäure folsäure vit b riboflavin vit b kann erdnüsse und nüsse enthalten
1,Trockenfrüchte* 45% (Sultaninen*| Aprikosen*| Feigen*| Äpfel*| Himbeeren*| Reismehl*| Sonnenblumenöl*)| Maisgrieß*| Sonnenblumenkerne*| Reismehl*| Rohrohrzucker*| Amaranthmehl*| Quinoamehl*| Buchweizenmehl*| Meersalz,glutenfrei,trockenfrüchte  sultaninen aprikosen feigen äpfel himbeeren reismehl sonnenblumenöl maisgrieß sonnenblumenkerne reismehl rohrohrzucker amaranthmehl quinoamehl buchweizenmehl meersalz
2,Braunhirse* (72%)| Mais*| Reissirup*(Reis* fermentiert| Wasser).,glutenfrei,braunhirse  mais reissirupreis fermentiert wasser
3,Canihua gepufft* *aus kontrolliert biologischem Anbau.,glutenfrei,canihua gepufft aus kontrolliert biologischem anbau
4,Maisgrieß 71%| Zucker| Kakaopulver 5|7%| Salz| Tapiokastärke. Kann Spuren von Milcheiweiß und Soja enthalten.,glutenfrei,maisgrieß  zucker kakaopulver  salz tapiokastärke kann spuren von milcheiweiß und soja enthalten
5,Chia-Samen| Omega 3-Fettsäuren,glutenfrei,chiasamen omega fettsäuren
6,Milchschokolade 20% (Zucker| Kakaobutter| Vollmilchpulver| Kakaomasse| Emulgator: Sojalecithin| Aroma)| Glukose-Fruktosesirup| Maisflocken 13% (Mais| Salz| Zucker)| Buchweizenflocken 12%| Oligofruktose| Hirseflocken 8%| Palmfett| Sonnenblumenöl| Puffreis 4%| Magermilchpulver| Mandeln 2| 6%| Reismehl| Honig 1| 9%| Vitamine (A| D| E| C| Thiamin B1| Riboflavin B2| Niacin B3| B6| Folsäure B9| B12| Biotin B7| Pantothensäure B5),glutenfrei,milchschokolade  zucker kakaobutter vollmilchpulver kakaomasse emulgator sojalecithin aroma glukosefruktosesirup maisflocken  mais salz zucker buchweizenflocken  oligofruktose hirseflocken  palmfett sonnenblumenöl puffreis  magermilchpulver mandeln   reismehl honig   vitamine a d e c thiamin b riboflavin b niacin b b folsäure b b biotin b pantothensäure b
7,SOJAFLOCKEN* 24%| Trockenfrüchte* 35% (Sultaninen* (mit Sonnenblumenöl*)| Aprikosen* getrocknet 5%| Datteln* getrocknet 5%| Pflaumen* getrocknet 5%)| Cornflakes* (Mais*| Meersalz| Maismalz*)| Puffreis*| Amaranth* gepufft| Buchweizenflocken*| Bourbon-Vanille*,glutenfrei,sojaflocken  trockenfrüchte  sultaninen mit sonnenblumenöl aprikosen getrocknet  datteln getrocknet  pflaumen getrocknet  cornflakes mais meersalz maismalz puffreis amaranth gepufft buchweizenflocken bourbonvanille
8,Mais*| Meersalz| Emulgator: Sonnenblumenlecithin. *aus kontrolliert ökologischem Anbau. **Enthält von Natur aus Zucker. Fettarm| Ballaststoffquelle.,glutenfrei,mais meersalz emulgator sonnenblumenlecithin aus kontrolliert ökologischem anbau enthält von natur aus zucker fettarm ballaststoffquelle
9,Reis** (99%)| Meersalz **aus biodynamischer Erzeugung (demeter),glutenfrei,reis  meersalz aus biodynamischer erzeugung demeter
10,Maisgrieß| Zucher| Kakaopulver 7|3%| Honig| Salz| modifizierte Tapiocastärke,glutenfrei,maisgrieß zucher kakaopulver  honig salz modifizierte tapiocastärke
11,Mais (93|1%)| Zucker| Salz| Vitamine (Thiamin (B1)|Riboflavin (B2)|Niacin (B3)|Pantothensäure (B5)| Vitamin (B6)| Folsäure (B9)| Vitamin B12)| Eisen.,glutenfrei,mais  zucker salz vitamine thiamin briboflavin bniacin bpantothensäure b vitamin b folsäure b vitamin b eisen
12,Reis* (64%)| Zucker*| Kakaopulver*(4%)| Meersalz. *aus biologischer Landwirtschaft,glutenfrei,reis  zucker kakaopulver meersalz aus biologischer landwirtschaft
13,Früchte 94% (Birnensaft aus Birnensaftkonzentrat 49%| Pfirsiche 42%| Maracujasaft aus Maracujasaftkonzentrat 3%)| Reisgrieß| Stärke| Vitamin C.,glutenfrei,früchte  birnensaft aus birnensaftkonzentrat  pfirsiche  maracujasaft aus maracujasaftkonzentrat  reisgrieß stärke vitamin c
14,MAGERMILCH| Wasser| Zucker| SCHLAGSAHNE| Maisgrieß| 2% Kirschsaft aus Kirschsaftkonzentrat| modifizierte Stärke| Verdickungsmittel Carrageen| Speisesalz| Säuerungsmittel Citronensäure| Aroma| Farbstoff Echtes Karmin| Carotin.,glutenfrei,magermilch wasser zucker schlagsahne maisgrieß  kirschsaft aus kirschsaftkonzentrat modifizierte stärke verdickungsmittel carrageen speisesalz säuerungsmittel citronensäure aroma farbstoff echtes karmin carotin
15,Reis*| Mais*| Rohrzucker*| Kokosnussöl*| Schokoladenpulver* 6|6% (Zucker*| Kakaopulver* 2|1%)| HASELNUSS* 5|1%| CASHEWNUSS*| Reiskleie*| Salz| Vanille Extrakt*.,glutenfrei,reis mais rohrzucker kokosnussöl schokoladenpulver  zucker kakaopulver  haselnuss  cashewnuss reiskleie salz vanille extrakt
16,Mais* (98|9%)| Meersalz. *aus kontrolliert biologischem Anbau,glutenfrei,mais  meersalz aus kontrolliert biologischem anbau
17,Oligofructose| MILCHEIWEIß| SOJA| VOLLMILCHSCHOKOLADE 10g (brauner Rohrzucker| Kakaobutter| VOLLMILCHPULVER| Kakaomasse| Emulgator Sonnenblumenlecithin)| Bio-Mohnöl| natürliches Orangenaroma. Kakao: 5.5% mindestens,glutenfrei,oligofructose milcheiweißsoja vollmilchschokolade g brauner rohrzucker kakaobutter vollmilchpulver kakaomasse emulgator sonnenblumenlecithin biomohnöl natürliches orangenaroma kakao  mindestens
18,Reis 73%| Zucker| Bitterschokolade 13% (Zucker| Kakaomasse| Kakaobutter| wasserfreie BUTTER| fettarmes Kakaopulver| Emulgator: SOJALECITHIN)| Maismehl 5%| Salz| Vitamine (Thiamin (B1)| Riboflavin (B2)| Niacin (B3)| Pantothensäure (B5)| Vitamin B6| Folsäure (B9)| Vitamin B12)| Eisen.,glutenfrei,reis  zucker bitterschokolade  zucker kakaomasse kakaobutter wasserfreie butter fettarmes kakaopulver emulgator sojalecithin maismehl  salz vitamine thiamin b riboflavin b niacin b pantothensäure b vitamin b folsäure b vitamin b eisen
19,Mais (mit Keimling) aus kontrolliert biologischem Anbau,glutenfrei,mais mit keimling aus kontrolliert biologischem anbau
20,15% Buchweizenflocken| 15% extruierte Hirse (31% Hirse| Mais Grütze| Reis| Rohrzucker| Salz)| Zucker| Reismehl| Rapsöl| 5% Rosinen (99|5% Rosinen| Sonnenblumenöl)| Maisflocken (98% Maismehl| Salz)| 5% schwarze Schokolade (Zucker| Kakaomasse| Kakaobutter| Dextrose| Emulgator: SOJALECITHIN| natürliches Aroma)| extrudierter Reis (Reis 93%| brauner Zucker| Salz)| getrocknete geriebene Kokosnuss 3|5%| Kartoffelstärke| 2% MANDELN| 1|5% gepufftes Amaranth| pulverisiertes Kakaopulver| Antioxidationsmittel: Ascorbylpalmitat| Extrakt reich an Tocopherolen. ,glutenfrei, buchweizenflocken  extruierte hirse  hirse mais grütze reis rohrzucker salz zucker reismehl rapsöl  rosinen  rosinen sonnenblumenöl maisflocken  maismehl salz  schwarze schokolade zucker kakaomasse kakaobutter dextrose emulgator sojalecithin natürliches aroma extrudierter reis reis  brauner zucker salz getrocknete geriebene kokosnuss  kartoffelstärke  mandeln  gepufftes amaranth pulverisiertes kakaopulver antioxidationsmittel ascorbylpalmitat extrakt reich an tocopherolen
21,Reis (82%)| Zucker| Maisfaser (6%)| Fruktose| Salz| Vitamine (B1| B2| B3| B5| B6| B9| B12| D)| Eisen,glutenfrei,reis  zucker maisfaser  fruktose salz vitamine b b b b b b b d eisen
22,Erdmandeln* (100%). *aus kontrolliert biologischem Anbau,glutenfrei,erdmandeln  aus kontrolliert biologischem anbau
23,Maismehl| Rohzucker| Honig.,glutenfrei,maismehl rohzucker honig
24,vermahlene Erdmandeln 30%*| Feigenwürfel*| Quinoakleie 8|6%*| Buchweizenflocken 8|6%*| Sonnenblumenkerne*| Aprikosenwürfel*| Hanfsamen*| Teffflocken*| getrocknete Apfelstücke*| Zimt*.,glutenfrei,vermahlene erdmandeln  feigenwürfel quinoakleie  buchweizenflocken  sonnenblumenkerne aprikosenwürfel hanfsamen teffflocken getrocknete apfelstücke zimt
